cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
6935	86	6	Organic compounds	0.8333333333333334	Organic oxygen compounds	0.5	Organooxygen compounds	0.5	Carbohydrates and carbohydrate conjugates	0.5	O-glycosyl compounds	0.5	Aliphatic heteromonocyclic compounds	0.5
6944	86	6	Organic compounds	0.8333333333333334	Organic oxygen compounds	0.5	Organooxygen compounds	0.5	Carbohydrates and carbohydrate conjugates	0.5	O-glycosyl compounds	0.5	Aliphatic heteromonocyclic compounds	0.5
7132	86	6	Organic compounds	0.8333333333333334	Organic oxygen compounds	0.5	Organooxygen compounds	0.5	Carbohydrates and carbohydrate conjugates	0.5	O-glycosyl compounds	0.5	Aliphatic heteromonocyclic compounds	0.5
2804	S1565	1	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Prenol lipids	1.0	Terpene glycosides	1.0	Terpene glycosides	1.0	Aromatic heteromonocyclic compounds	1.0
2805	S1566	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2809	S1567	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
281	S1568	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2810	S1569	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2811	S1570	1	Organic compounds	1.0	Benzenoids	1.0	Tetralins	1.0		1.0	Tetralins	1.0	Aromatic homopolycyclic compounds	1.0
2812	S1571	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0		1.0	Coumarins and derivatives	1.0	Aromatic heteropolycyclic compounds	1.0
2813	S1572	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2814	S1573	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2815	S1574	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2816	S1575	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2817	S1576	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
